Acute_Hepatitis,Alcohol_Use_Disorders,Alzheimers_Disease_and_Other_Dementias,Cardiovascular_Diseases,Chronic_Kidney_Disease,Chronic_Respiratory_Diseases,Cirrhosis_and_Other_Chronic_Liver_Diseases,Conflict_and_Terrorism,Diabetes_Mellitus,Digestive_Diseases,Drowning,Drug_Use_Disorders,Environmental_Heat_and_Cold_Exposure,Exposure_to_Forces_of_Nature,Fire_Heat_and_Hot_Substances,HIV_AIDS,Interpersonal_Violence,Lower_Respiratory_Infections,Malaria,Maternal_Disorders,Meningitis,Neonatal_Disorders,Neoplasms,Nutritional_Deficiencies,Parkinsons_Disease,Poisonings,Protein_Energy_Malnutrition,Road_Injuries,Self_harm,Tuberculosis,pca0,pca2,labels0,labels1,labels2,Diarrheal_Diseases
0.04402783568539292,-0.5917648863203154,-0.9301510067487638,-1.605967129122197,-0.9297129062595335,-1.1654759203197878,-0.42396061178073113,-0.1545219946297017,-0.6864138284258913,-0.8066111191822241,-0.6452790518250807,-0.4260898771820603,-0.219220662253883,-0.07286825226020725,-0.14025319046422585,3.347105916759735,-0.2887024932950001,0.8257636820708402,0.9394728637107002,0.6716694870339226,0.5899711833343873,0.9043807033319524,-1.1971299064694367,0.8554493108842841,-1.1982172866220617,0.5534428197662365,0.8646371450088547,-0.6069824055055419,-0.7952665352957226,0.9425071040075798,4.035571287112798,0.8604307227652843,0,0,1,0.05361345768836369
0.06441447995826398,-0.5859706191272012,-0.9118226962134346,-1.567535852226658,-0.8982618343793718,-1.1436537483990319,-0.37905941954865724,-0.15518047217097478,-0.6660086835766981,-0.7353953704203748,-0.5748198287874309,-0.41918854513202713,-0.2049743285918679,-0.07346563588298319,-0.08992928755562907,3.2179383157706023,-0.2704182575146362,0.8643355079346966,0.7490582330370906,0.7792321761195944,0.6585762663162232,0.9723859512014517,-1.1685318594652863,0.8161003758895499,-1.1780953667629537,0.6425365770010343,0.8251946472426479,-0.586606275731213,-0.7754142992753252,0.9830432517742045,4.03144502006048,0.8126921001927243,0,0,1,0.05298586927653575
0.09448849967078603,-0.577461085840207,-0.8861776559521847,-1.5147294312020652,-0.8535924842708226,-1.1122631234782594,-0.3041484946508952,-0.15477615025211042,-0.6359147261247842,-0.6295050522069506,-0.5667234286664984,-0.4067568813320366,-0.18540339385930174,-0.07346563588298319,-0.0342200998132945,2.931923608326903,-0.24373077942356566,0.9327177668180238,0.5441243265551373,0.9288236767878904,0.757650815337246,1.092948536623837,-1.1261743336620222,0.8635642785271039,-1.150063167213538,0.7421316873760243,0.8729364543317376,-0.5588599322341202,-0.7428761922882554,1.0442743430358585,4.076282555854189,0.7358987980402294,0,0,1,0.05392306606255856
0.11612404337111351,-0.5678979756826414,-0.8603833889435959,-1.462834923549648,-0.8104715707658756,-1.0849731751016587,-0.2453099209302991,-0.1546549697876768,-0.6069724824633136,-0.5525613823649915,-0.5603881399089794,-0.39047017511759013,-0.17117725144234422,-0.057698197699197935,-0.0074492745378444206,2.660635606950872,-0.2234899147163751,0.9489947994698866,0.49666859779533173,1.0749177192779533,0.7668654239669053,1.1908378529994186,-1.0879346557391443,0.8476306129203565,-1.1188363827503016,0.7959043121772293,0.856217236072434,-0.5383174447148362,-0.7120335318096152,1.0856051468540717,4.066849292800429,0.6723798285680452,0,0,1,0.05430102547138604
0.12153312764825651,-0.5640949974006023,-0.8483958980416162,-1.436856310458214,-0.785139466026124,-1.0733383746390524,-0.24962422881396407,-0.1551678657188147,-0.5937073979157962,-0.5484344286988506,-0.5106499491861377,-0.37891357172510914,-0.16041087414775881,-0.06721361585468288,0.04529859667512678,2.4540780615123046,-0.20857099504661544,0.970225418254012,0.6351968539530258,1.1527406778343336,0.646827735092364,1.2228024644109408,-1.0667178238582946,0.866574855285409,-1.1032726738004206,0.8532742383705275,0.8755033933055024,-0.5253850122252051,-0.7002036424066433,1.0807447873729374,4.071850083431592,0.6615124275519474,0,0,1,0.05301385189554343
0.12908795619077476,-0.558816336118715,-0.8265587935084118,-1.410039742059457,-0.7529897283762327,-1.057019222877286,-0.24123845326374502,-0.15319918200315966,-0.5739372927570561,-0.5353906063747899,-0.5107118963005736,-0.366647825032358,-0.1560880187995896,-0.07150296022127468,0.05838456361174103,2.279580646774399,-0.19642889215384088,0.9644100177984078,0.7147726846600763,1.249283992771295,0.6508120059714954,1.261450172210816,-1.0386980560159518,0.8425194557129883,-1.0816207934871527,0.8877511215736622,0.8508825566780339,-0.5131492885475456,-0.6837063941364122,1.0650643282904524,4.060442066329948,0.6401615281015868,0,0,1,0.05131497126683249
0.1401521923079743,-0.5521154180960581,-0.801506228700664,-1.3722715755059698,-0.7118192048790223,-1.0344228353036649,-0.24360638383440236,-0.1533745868827536,-0.5481562149976814,-0.5060621230174078,-0.4792869368671243,-0.35704496010417547,-0.14664173144623757,-0.06526728482506029,0.09167596714724704,2.155842820813072,-0.1832248535104989,0.9850673993300331,0.5779860356432379,1.3498552984917311,0.6665567192868801,1.3035779147593218,-1.0022138949826402,0.8380197405662976,-1.0573596033764003,0.9398785845988924,0.845729623578797,-0.4967257515043835,-0.661427763416118,1.074027514140446,4.031236414154832,0.6010649476288008,0,0,1,0.04997627320180869
0.16110938972557737,-0.5423282370135716,-0.7717577496112537,-1.3202695277669578,-0.6614575146166378,-0.9994479049196799,-0.21326278194404527,-0.1521469723052379,-0.5138002285779631,-0.4319961199547299,-0.4579149826360287,-0.3436509113073904,-0.12931539143705215,-0.07120003962634924,0.16114675344579651,1.8750456001770448,-0.15693091060305164,1.0748162394449903,0.4358725783588237,1.4657134392446576,0.7191542378416185,1.3613834806913594,-0.9527885991346849,0.8797176662914973,-1.0266158439173356,1.0518535814736938,0.8868325186224885,-0.46826260973867506,-0.6269423837101299,1.1299495916011493,4.049792561833595,0.5452437332499105,0,0,1,0.0503179191557093
0.19163622744551412,-0.5307937852393099,-0.7345138166043446,-1.2579213390795252,-0.5961462676903175,-0.9590827884459903,-0.15933170821661416,-0.15137105215493427,-0.47205148965367233,-0.3317060382467893,-0.4129879757560875,-0.32771572623953227,-0.10672079558649343,-0.07346563588298319,0.21975142334052467,1.508122947672366,-0.12530795632626363,1.112608104203123,0.4395754777251536,1.5732282903850456,0.4050717350734236,1.4525924899456848,-0.8953625293747645,0.9022516523805992,-0.9904257682353974,1.1502178834866499,0.9081139843510558,-0.4357403973476914,-0.5810027717164826,1.2292959691718073,3.9699708395642217,0.46175896412130346,0,0,1,0.05066299472542541
0.20032689159286143,-0.5205890440441893,-0.7014186180726508,-1.2081372100847112,-0.546397512403442,-0.9328970574746103,-0.12238688353087705,-0.15227957577960502,-0.4390857251459078,-0.2667334358767773,-0.4548444221780409,-0.31415696957140066,-0.09361633615416766,-0.06598273275666128,0.20339782810372942,1.2646218256319177,-0.10435564856181,1.0786375165051039,0.4935852563633207,1.6283827333441427,0.3864996592358924,1.5051826077669526,-0.8541166066334668,0.8208331071250148,-0.9615433639685735,1.1310621032507766,0.824834745530006,-0.42617576911953625,-0.5455214143833113,1.3200293503879879,3.8856171050011485,0.4080878890039904,0,0,1,0.05083261598741429
